round	train	test
1	0.160142349	0.185714286
2	0.160142349	0.185714286
3	0.128113879	0.157142857
4	0.128113879	0.185714286
5	0.085409253	0.157142857
6	0.106761566	0.185714286
7	0.09252669	0.128571429
8	0.081850534	0.142857143
9	0.088967972	0.142857143
10	0.078291815	0.171428571
11	0.071174377	0.171428571
12	0.06405694	0.185714286
13	0.071174377	0.171428571
14	0.06405694	0.214285714
15	0.056939502	0.171428571
16	0.049822064	0.171428571
17	0.06405694	0.171428571
18	0.042704626	0.142857143
19	0.053380783	0.157142857
20	0.039145907	0.142857143
21	0.049822064	0.128571429
22	0.039145907	0.114285714
23	0.046263345	0.142857143
24	0.042704626	0.128571429
25	0.049822064	0.1
26	0.024911032	0.128571429
27	0.042704626	0.1
28	0.014234875	0.128571429
29	0.049822064	0.128571429
30	0.014234875	0.128571429
31	0.024911032	0.085714286
32	0.007117438	0.128571429
33	0.017793594	0.128571429
34	0.007117438	0.114285714
35	0.010676157	0.114285714
36	0.010676157	0.114285714
37	0.003558719	0.1
38	0.007117438	0.1
39	0.003558719	0.085714286
40	0.003558719	0.114285714
41	0.003558719	0.114285714
42	0	0.114285714
43	0	0.1
44	0	0.1
45	0	0.071428571
46	0	0.085714286
47	0	0.085714286
48	0.003558719	0.1
49	0	0.1
