round	train	test
1	0.200647249	0.185714286
2	0.200647249	0.185714286
3	0.181229773	0.171428571
4	0.181229773	0.171428571
5	0.132686084	0.185714286
6	0.165048544	0.2
7	0.142394822	0.157142857
8	0.132686084	0.185714286
9	0.126213592	0.171428571
10	0.139158576	0.142857143
11	0.126213592	0.185714286
12	0.13592233	0.171428571
13	0.1197411	0.171428571
14	0.129449838	0.171428571
15	0.126213592	0.171428571
16	0.126213592	0.2
17	0.1197411	0.142857143
18	0.116504854	0.185714286
19	0.122977346	0.185714286
20	0.1197411	0.171428571
21	0.1197411	0.185714286
22	0.106796117	0.171428571
23	0.116504854	0.171428571
24	0.106796117	0.157142857
25	0.113268608	0.157142857
26	0.100323625	0.157142857
27	0.110032362	0.142857143
28	0.097087379	0.157142857
29	0.103559871	0.128571429
30	0.100323625	0.142857143
31	0.106796117	0.114285714
32	0.093851133	0.128571429
33	0.103559871	0.128571429
34	0.103559871	0.142857143
35	0.097087379	0.128571429
36	0.093851133	0.128571429
37	0.090614887	0.128571429
38	0.090614887	0.142857143
39	0.087378641	0.157142857
40	0.090614887	0.157142857
41	0.087378641	0.142857143
42	0.084142395	0.157142857
43	0.084142395	0.157142857
44	0.087378641	0.142857143
45	0.087378641	0.142857143
46	0.090614887	0.142857143
47	0.084142395	0.142857143
48	0.087378641	0.128571429
49	0.084142395	0.128571429
